Date,Rank,Weekend Gross,%,Theaters,Change,Avg,Gross-to-Date,Week
Mar 17Ð19,1,174750616,-,4210,-,41508,174750616,1
Mar 24Ð26,1,90426717,-0.483,4210,-,21479,319032604,2
Mar 31ÐApr 2,2,45420743,-0.498,4210,-,10789,393337585,3
Apr 7Ð9,2,23652605,-0.479,3969,-241,5959,430946639,4
Apr 14Ð16,3,13705122,-0.421,3592,-377,3815,454720873,5
Apr 21Ð23,3,9662645,-0.295,3315,-277,2915,470787029,6
Apr 28Ð30,6,6825595,-0.294,3155,-160,2163,480525828,7
May 5Ð7,5,5087749,-0.255,2680,-475,1898,487739364,8
May 12Ð14,5,4809170,-0.055,2172,-508,2214,494140334,9
May 19Ð21,9,2545579,-0.471,1792,-380,1421,497924628,10
May 26Ð28,11,1463306,-0.425,1076,-716,1360,500463741,11
May 26Ð29,10,2013748,-0.209,1076,-716,1872,501014183,11
Jun 2Ð4,11,658056,-0.55,527,-549,1249,502136527,12
Jun 9Ð11,18,377898,-0.426,316,-211,1196,502868344,13
Jun 16Ð18,21,275792,-0.27,242,-74,1140,503368806,14
Jun 23Ð25,25,148633,-0.461,191,-51,778,503685062,15
Jun 30ÐJul 2,29,77493,-0.479,156,-35,497,503860035,16
Jun 30ÐJul 4,29,113496,-,156,-,728,503896038,16
Jul 7Ð9,36,49452,-0.362,110,-46,450,503974884,17