Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
1,Terminator 2: Judgment Day,TriS,"$204,843,345 ","2,495","$31,765,506 ","2,274",1991,/movies/?id=terminator2.htm,Arnold SchwarzeneggerEdward FurlongLinda HamiltonRobert Patrick
2,Robin Hood: Prince of Thieves,WB,"$165,493,908 ","2,369","$25,625,602 ","2,369",1991,/movies/?id=robinhoodprinceofthieves.htm,Kevin CostnerMorgan FreemanAlan Rickman
3,Beauty and the Beast,BV,"$145,863,363 ","1,960","$162,146 ",2,1991,/movies/?id=beautyandthebeast.htm,ERROR FOR: Beauty and the Beast
4,The Silence of the Lambs,Orion,"$130,742,922 ","1,642","$13,766,814 ","1,497",1991,/movies/?id=silenceofthelambs.htm,Jodie FosterAnthony Hopkins
5,City Slickers,Col.,"$124,033,791 ","2,171","$13,032,121 ","1,992",1991,/movies/?id=cityslickers.htm,Billy CrystalJake Gyllenhaal*
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,